Name,Inns_test,NO_test,Runs_test,Ave_test,Inns_FC,NO_FC,Runs_FC,Ave_FC,Inns_LA,NO_LA,Runs_LA,Ave_LA
James Braceyʠ,3,0,8,2.66,142,10,4122,31.22,32,3,1374,47.37
Ollie Robinson,33,5,410,14.64,134,22,2195,19.59,11,3,122,15.25
Sam Billingsʠ,3,0,66,22.0,128,12,3628,31.27,90,15,3125,41.66
Alex Lees,19,0,453,23.84,280,18,9904,37.8,67,6,2568,42.09
Matthew Fisher,1,1,0,-,53,16,605,16.35,19,10,236,26.22
Saqib Mahmood,2,1,52,52.0,36,16,298,14.9,15,6,138,15.33
Matthew Potts,6,2,30,7.50,57,11,738,16.04,7,3,74,18.50
Matt Parkinson,1,0,8,8.00,58,24,309,9.08,15,10,60,12.00
Jamie Overton,1,0,97,97.0,132,27,2298,21.88,31,8,399,17.34
Harry Brook,20,1,1181,62.15,110,6,4248,40.84,27,2,750,30.0
Will Jacks,4,0,89,22.25,78,9,2363,34.24,28,0,782,27.92
Liam Livingstone,2,1,16,16.0,96,15,3085,38.08,68,6,2110,34.03
Rehan Ahmed,8,0,87,10.87,30,1,811,27.96,10,4,124,20.66
Josh Tongue,2,0,20,10.0,64,16,632,13.16,8,3,99,19.8
Tom Hartley,10,0,185,18.50,35,7,707,25.25,4,2,60,30.00
Shoaib Bashir,6,3,33,11.00,15,7,104,13.00,4,2,10,5.00
